# iTantra phrase codebook — മലയാളം (Malayalam)
#
# THIS FILE IS A PARALLEL CORPUS. Line N here must mean exactly what line N of every
# other language's file means, because the line number is the only thing that crosses
# the link: id 33 spoken in Telugu and rendered on a Malayalam phone IS the translation.
#
#   APPEND ONLY. Never reorder, never delete, never edit an existing line's meaning.
#   A line containing just "-" means NOT TRANSLATED YET and still holds its id;
#   removing one shifts every id after it, and a shifted id does not fail — it decodes
#   to a real but different sentence.
#
# Blank lines and lines starting with # are ignored and do not consume an id.
#
# Reviewed against the English line by line; a native speaker should confirm the
# wordings before this codebook is frozen.
സന്ദേശം കിട്ടി  # 0: message received
മനസ്സിലായില്ല, വീണ്ടും പറയൂ  # 1: message not understood, repeat
കാത്തിരിക്കുന്നു  # 2: standing by
കാത്തിരിക്കൂ, ഇപ്പോൾ നിർത്തുന്നു  # 3: wait, out
അറിയിക്കാൻ ഒന്നുമില്ല  # 4: nothing to report
അതെ  # 5: yes
അല്ല  # 6: no
അറിയില്ല  # 7: unknown
സ്ഥിരീകരിച്ചു  # 8: confirmed
അത് റദ്ദാക്കൂ  # 9: cancel that
നിങ്ങളുടെ സ്ഥലം അറിയിക്കൂ  # 10: report your position
നിങ്ങളുടെ അവസ്ഥ അറിയിക്കൂ  # 11: report your status
ആരാണ് സംസാരിക്കുന്നത്  # 12: who is calling
പതുക്കെ സംസാരിക്കൂ  # 13: speak slower
സന്ദേശം അവസാനിച്ചു  # 14: end of message
കിട്ടി, നടപടി ആവശ്യമില്ല  # 15: acknowledged, no action needed
ഞങ്ങൾക്ക് ഉടൻ സഹായം വേണം  # 16: we need help immediately
ഇത് അത്യാഹിതമാണ്  # 17: this is an emergency
ഞങ്ങൾ കുടുങ്ങി, നീങ്ങാൻ കഴിയില്ല  # 18: we are trapped and cannot move
ഞങ്ങൾ ഇപ്പോൾ സുരക്ഷിതരാണ്  # 19: we are safe for now
ഞങ്ങളുടെ സ്ഥലത്ത് സഹായം എത്തിക്കൂ  # 20: send help to our position
നടന്ന് സുരക്ഷിത സ്ഥലത്ത് എത്താൻ കഴിയില്ല  # 21: we cannot reach safety on foot
ഇവിടെ ആരുമില്ല  # 22: there is no one here
മറ്റുള്ളവരുമായി ബന്ധം നഷ്ടപ്പെട്ടു  # 23: we have lost contact with the others
ഈ വഴി വരരുത്, സുരക്ഷിതമല്ല  # 24: do not come this way, it is not safe
ഞങ്ങൾ ഉയർന്ന സ്ഥലത്തേക്ക് നീങ്ങുന്നു  # 25: we are moving to higher ground
ഞങ്ങൾ ഇവിടെത്തന്നെ നിൽക്കും  # 26: we will stay where we are
ഞങ്ങളുടെ ഫോൺ ബാറ്ററി തീരാറായി  # 27: our phone battery is almost finished
നിങ്ങളുടെ ശബ്ദം കേൾക്കുന്നു പക്ഷേ മറുപടി അയക്കാൻ കഴിയില്ല  # 28: we can hear you but cannot reply
അവസാന സന്ദേശം അയക്കുന്നു  # 29: sending one last message
ഇവിടെ എല്ലാം ശരിയാണ്  # 30: all clear here
സ്ഥിതി വഷളാകുന്നു  # 31: situation is getting worse
വെള്ളം പൊങ്ങുന്നു  # 32: flood water is rising
സ്കൂളിന് അടുത്ത് വെള്ളം പൊങ്ങുന്നു, വള്ളങ്ങൾ അയക്കൂ  # 33: flood water is rising near the school, send boats
