# iTantra phrase codebook — हिन्दी (Hindi)
#
# THIS FILE IS A PARALLEL CORPUS. Line N here must mean exactly what line N of every
# other language's file means, because the line number is the only thing that crosses
# the link: id 33 spoken in Hindi and rendered on a Tamil phone IS the translation.
#
#   APPEND ONLY. Never reorder, never delete, never edit an existing line's meaning.
#   A line containing just "-" means NOT TRANSLATED YET and still holds its id;
#   removing one shifts every id after it, and a shifted id does not fail — it decodes
#   to a real but different sentence.
#
# Blank lines and lines starting with # are ignored and do not consume an id.
#
# Reviewed against the English line by line; a native speaker should confirm wording before this is frozen.
संदेश मिल गया  # 0: message received
समझ नहीं आया, दोहराइए  # 1: message not understood, repeat
इंतज़ार में हैं  # 2: standing by
रुकिए, बात खत्म  # 3: wait, out
बताने के लिए कुछ नहीं  # 4: nothing to report
हाँ  # 5: yes
नहीं  # 6: no
पता नहीं  # 7: unknown
पुष्टि हो गई  # 8: confirmed
उसे रद्द कर दें  # 9: cancel that
अपनी जगह बताइए  # 10: report your position
अपनी स्थिति बताइए  # 11: report your status
कौन बोल रहा है  # 12: who is calling
धीरे बोलिए  # 13: speak slower
संदेश समाप्त  # 14: end of message
मिल गया, कुछ करने की ज़रूरत नहीं  # 15: acknowledged, no action needed
हमें तुरंत मदद चाहिए  # 16: we need help immediately
यह आपातकाल है  # 17: this is an emergency
हम फँस गए हैं, हिल नहीं सकते  # 18: we are trapped and cannot move
हम अभी सुरक्षित हैं  # 19: we are safe for now
हमारी जगह पर मदद भेजिए  # 20: send help to our position
पैदल सुरक्षित जगह नहीं पहुँच सकते  # 21: we cannot reach safety on foot
यहाँ कोई नहीं है  # 22: there is no one here
बाकी लोगों से संपर्क टूट गया है  # 23: we have lost contact with the others
इस रास्ते से न आइए, सुरक्षित नहीं है  # 24: do not come this way, it is not safe
हम ऊँची जगह जा रहे हैं  # 25: we are moving to higher ground
हम यहीं रहेंगे  # 26: we will stay where we are
हमारे फ़ोन की बैटरी खत्म होने वाली है  # 27: our phone battery is almost finished
आपकी आवाज़ आ रही है पर जवाब नहीं भेज सकते  # 28: we can hear you but cannot reply
आखिरी संदेश भेज रहे हैं  # 29: sending one last message
यहाँ सब ठीक है  # 30: all clear here
हालात बिगड़ रहे हैं  # 31: situation is getting worse
बाढ़ का पानी बढ़ रहा है  # 32: flood water is rising
स्कूल के पास बाढ़ का पानी बढ़ रहा है, नावें भेजिए  # 33: flood water is rising near the school, send boats
नदी का किनारा टूट गया है  # 34: the river has broken its bank
पानी कमर से ऊपर है  # 35: the water is above the waist
पानी अभी भी बढ़ रहा है  # 36: the water is still rising
पानी कम हो रहा है  # 37: the water is going down
