# iTantra phrase codebook — ଓଡ଼ିଆ (Odia)
#
# THIS FILE IS A PARALLEL CORPUS. Line N here must mean exactly what line N of every
# other language's file means, because the line number is the only thing that crosses
# the link: id 33 spoken in Telugu and rendered on a Malayalam phone IS the translation.
#
#   APPEND ONLY. Never reorder, never delete, never edit an existing line's meaning.
#   A line containing just "-" means NOT TRANSLATED YET and still holds its id;
#   removing one shifts every id after it, and a shifted id does not fail — it decodes
#   to a real but different sentence.
#
# Blank lines and lines starting with # are ignored and do not consume an id.
#
# Reviewed against the English line by line; a native speaker should confirm the
# wordings before this codebook is frozen.
ସନ୍ଦେଶ ମିଳିଲା  # 0: message received
ବୁଝିପାରିଲି ନାହିଁ, ପୁଣି କୁହନ୍ତୁ  # 1: message not understood, repeat
ଅପେକ୍ଷା କରିଛୁ  # 2: standing by
ଅପେକ୍ଷା କରନ୍ତୁ, ଏବେ ଶେଷ କରୁଛି  # 3: wait, out
କହିବାର କିଛି ନାହିଁ  # 4: nothing to report
ହଁ  # 5: yes
ନାହିଁ  # 6: no
ଜଣା ନାହିଁ  # 7: unknown
ନିଶ୍ଚିତ ହେଲା  # 8: confirmed
ତାହା ବାତିଲ କରନ୍ତୁ  # 9: cancel that
ଆପଣଙ୍କ ସ୍ଥାନ କୁହନ୍ତୁ  # 10: report your position
ଆପଣଙ୍କ ସ୍ଥିତି କୁହନ୍ତୁ  # 11: report your status
କିଏ କହୁଛନ୍ତି  # 12: who is calling
ଧୀରେ କୁହନ୍ତୁ  # 13: speak slower
ସନ୍ଦେଶ ସମାପ୍ତ  # 14: end of message
ମିଳିଲା, କିଛି କରିବାର ଆବଶ୍ୟକତା ନାହିଁ  # 15: acknowledged, no action needed
ଆମକୁ ତୁରନ୍ତ ସାହାଯ୍ୟ ଦରକାର  # 16: we need help immediately
ଏହା ଏକ ଆପାତକାଳୀନ ପରିସ୍ଥିତି  # 17: this is an emergency
ଆମେ ଫସି ଯାଇଛୁ, ଚାଲିପାରୁନାହିଁ  # 18: we are trapped and cannot move
ଆମେ ଏବେ ସୁରକ୍ଷିତ ଅଛୁ  # 19: we are safe for now
ଆମ ସ୍ଥାନକୁ ସାହାଯ୍ୟ ପଠାନ୍ତୁ  # 20: send help to our position
ଚାଲି ସୁରକ୍ଷିତ ସ୍ଥାନକୁ ଯାଇପାରିବୁ ନାହିଁ  # 21: we cannot reach safety on foot
ଏଠାରେ କେହି ନାହାନ୍ତି  # 22: there is no one here
ଅନ୍ୟମାନଙ୍କ ସହ ଯୋଗାଯୋଗ ବିଚ୍ଛିନ୍ନ  # 23: we have lost contact with the others
ଏହି ବାଟରେ ଆସନ୍ତୁ ନାହିଁ, ସୁରକ୍ଷିତ ନୁହେଁ  # 24: do not come this way, it is not safe
ଆମେ ଉଚ୍ଚ ସ୍ଥାନକୁ ଯାଉଛୁ  # 25: we are moving to higher ground
ଆମେ ଏଠାରେ ହିଁ ରହିବୁ  # 26: we will stay where we are
