# iTantra phrase codebook — বাংলা (Bengali)
#
# THIS FILE IS A PARALLEL CORPUS. Line N here must mean exactly what line N of every
# other language's file means, because the line number is the only thing that crosses
# the link: id 33 spoken in Telugu and rendered on a Malayalam phone IS the translation.
#
#   APPEND ONLY. Never reorder, never delete, never edit an existing line's meaning.
#   A line containing just "-" means NOT TRANSLATED YET and still holds its id;
#   removing one shifts every id after it, and a shifted id does not fail — it decodes
#   to a real but different sentence.
#
# Blank lines and lines starting with # are ignored and do not consume an id.
#
# Reviewed against the English line by line; a native speaker should confirm the
# wordings before this codebook is frozen.
বার্তা পৌঁছেছে  # 0: message received
বুঝতে পারিনি, আবার বলুন  # 1: message not understood, repeat
অপেক্ষা করছি  # 2: standing by
অপেক্ষা করুন, এখন শেষ করছি  # 3: wait, out
বলার কিছু নেই  # 4: nothing to report
হ্যাঁ  # 5: yes
না  # 6: no
জানা নেই  # 7: unknown
নিশ্চিত হয়েছে  # 8: confirmed
সেটা বাতিল করুন  # 9: cancel that
আপনার জায়গা জানান  # 10: report your position
আপনার অবস্থা জানান  # 11: report your status
কে বলছেন  # 12: who is calling
ধীরে বলুন  # 13: speak slower
বার্তা শেষ  # 14: end of message
পেয়েছি, কিছু করার দরকার নেই  # 15: acknowledged, no action needed
আমাদের এখনই সাহায্য দরকার  # 16: we need help immediately
এটি একটি জরুরি অবস্থা  # 17: this is an emergency
আমরা আটকে পড়েছি, নড়তে পারছি না  # 18: we are trapped and cannot move
আমরা এখন নিরাপদ আছি  # 19: we are safe for now
আমাদের জায়গায় সাহায্য পাঠান  # 20: send help to our position
হেঁটে নিরাপদ জায়গায় পৌঁছাতে পারছি না  # 21: we cannot reach safety on foot
এখানে কেউ নেই  # 22: there is no one here
বাকিদের সঙ্গে যোগাযোগ বিচ্ছিন্ন  # 23: we have lost contact with the others
এই পথে আসবেন না, নিরাপদ নয়  # 24: do not come this way, it is not safe
আমরা উঁচু জায়গায় যাচ্ছি  # 25: we are moving to higher ground
আমরা এখানেই থাকব  # 26: we will stay where we are
আমাদের ফোনের চার্জ শেষ হয়ে আসছে  # 27: our phone battery is almost finished
আপনার কথা শুনতে পাচ্ছি কিন্তু উত্তর পাঠাতে পারছি না  # 28: we can hear you but cannot reply
শেষ বার্তা পাঠাচ্ছি  # 29: sending one last message
এখানে সব ঠিক আছে  # 30: all clear here
পরিস্থিতি খারাপ হচ্ছে  # 31: situation is getting worse
বানের জল বাড়ছে  # 32: flood water is rising
স্কুলের কাছে বানের জল বাড়ছে, নৌকা পাঠান  # 33: flood water is rising near the school, send boats
নদীর পাড় ভেঙে গেছে  # 34: the river has broken its bank
জল কোমরের উপরে  # 35: the water is above the waist
জল এখনও বাড়ছে  # 36: the water is still rising
জল কমছে  # 37: the water is going down
সেতু জলের নিচে  # 38: the bridge is under water
রাস্তা জলের নিচে  # 39: the road is under water
বাঁধের গেট খুলে দেওয়া হয়েছে  # 40: the dam has opened its gates
ভারী বৃষ্টি থামেনি  # 41: heavy rain has not stopped
কুয়োর জল খাওয়ার উপযুক্ত নয়  # 42: the well water is not safe to drink
পরিষ্কার খাবার জল নেই  # 43: we have no clean drinking water
নলকূপ জলে ডুবে গেছে  # 44: the borewell is flooded
নর্দমা বন্ধ, জল ফিরে আসছে  # 45: the drain is blocked and water is backing up
খেত পুরো ডুবে গেছে  # 46: the field is completely submerged
আজ রাতে বড় ঢেউয়ের আশঙ্কা  # 47: high tide is expected tonight
এখানে সবাই নিরাপদ  # 48: everyone here is safe
কয়েকজনকে পাওয়া যাচ্ছে না  # 49: some people are missing
একটি শিশুকে পাওয়া যাচ্ছে না  # 50: a child is missing
একজন বৃদ্ধের সাহায্য দরকার  # 51: an elderly person needs help
একজন গর্ভবতী মহিলার হাসপাতাল দরকার  # 52: a pregnant woman needs a hospital
একজন গুরুতর আহত  # 53: someone is badly injured
একজন জলে ডুবে গেছেন  # 54: someone has drowned
আমরা দশ জন  # 55: we are ten people
আমরা পঞ্চাশ জনের বেশি  # 56: we are more than fifty people
আমাদের সঙ্গে শিশু আছে  # 57: we have children with us
আমাদের সঙ্গে বৃদ্ধরা আছেন  # 58: we have elderly people with us
আমাদের সঙ্গে একজন প্রতিবন্ধী ব্যক্তি আছেন  # 59: we have a disabled person with us
লোকেরা মন্দিরে জড়ো হচ্ছে  # 60: people are gathering at the temple
লোকেরা স্কুলে জড়ো হচ্ছে  # 61: people are gathering at the school
লোকেরা পঞ্চায়েত অফিসে জড়ো হচ্ছে  # 62: people are gathering at the panchayat office
সবাইকে সরিয়ে নেওয়া হয়েছে  # 63: everyone has been moved out
ডাক্তার দরকার  # 64: we need a doctor
ওষুধ দরকার  # 65: we need medicine
